Case #,Date,country_id,state_id, Description , Deaths , Tesla driver , Tesla occupant , Other vehicle , Cyclists/ Peds , TSLA+cycl / peds ,model_id, Autopilot claimed , Verified Tesla Autopilot Deaths , Verified Tesla Autopilot Deaths + All Deaths Reported to NHTSA SGO 
242,6/20/2022,c023,s001, Tesla crashes into car ,1,0,,1,,,,,,
282,11/26/2022,c023,s002, Tesla hits pedestrian ,1,0,,,1,1,,,,
229,5/23/2022,c023,s003, Tesla driver hit in multicar accident ,1,1,,,,1,,,,
193,12/7/2021,c023,s003, Vehicular collision ,1,1,,,,1,,,,
187,11/8/2021,c023,s003, Three car collision ,1,,,1,,,,,,
182,10/15/2021,c023,s003, Toyota hits Tesla ,1,,,1,,,,,,
175,8/25/2021,c023,s003, Tesla runs a red light and hits another car ,3,,,3,,,,,,
144,1/22/2021,c023,s003," Tesla crashes into tree, occupants killed ",2,1,1,,,2,,,,
34,8/13/2017,c023,s003, Tesla kills motorcyclist ,1,0,0,1,0,0,,,,
33,7/21/2017,c023,s003, Wrong way driver strikes Tesla ,1,0,0,1,0,0,,,,
294,1/17/2023,c023,s004, Tesla crashes into back of semi ,1,1,,,,1,,,,
289,12/18/2022,c023,s004, Tesla hit two other cars ,1,0,1,,,,,,,
288,12/17/2022,c023,s004, Tesla hits pedestrian on highway ,1,0,,,1,1,,,,
287,12/11/2022,c023,s004, Tesla crashes into wall ,1,1,,,,,,,,
283,11/27/2022,c023,s004," Tesla careens off road, hits trees ",1,1,,,,1,,,,
279,11/12/2022,c023,s004, Multi-vehicle accident ,1,0,,1,,,,,,
278,11/11/2022,c023,s004," Tesla hits wall, catches fire ",1,0,1,,,,,1,,
275,10/19/2022,c023,s004, Multicar crash ,1,1,,,,1,m001,,,
272,10/9/2022,c023,s004, Tesla hits concrete block ,1,0,1,,,1,,,,
267,9/13/2022,c023,s004, Tesla runs off highway ,1,1,,,,1,,,,
265,9/7/2022,c023,s004, Motorcycle collides with Tesla ,1,1,,,,,,,,
264,8/30/2022,c023,s004, Tesla hits motorcycle ,1,0,,1,,,,,,
256,8/14/2022,c023,s004, Tesla veers into oncoming traffic ,4,1,3,,,4,,,,
248,7/8/2022,c023,s004, 3-car accident involving Tesla ,1,0,,1,,,,,,
246,7/7/2022,c023,s004, Motorcycle hit by Tesla ,1,0,,1,,,m006,1,1,1
243,6/26/2022,c023,s004, Tesla drives into opposite lane ,1,0,,1,,,,,,
238,6/17/2022,c023,s004, Head-on collision ,2,1,1,,,2,,,,
237,6/14/2022,c023,s004, Tesla moves into opposite lane and head-on crashes ,1,,,1,,,,,,
